Address,Status,Bought Amount (ALPH),Remaining (ALPH)
14jJQ2kzPMiv8vWBvXrwTBe1VA8vajFarapjWx6gjh8Rg,No Purchase,0.0000,5036.6300
16dhu58SwEQdmD17HSUgDdgam9qgEYH2gnMf6WAj33hUh,Fully Allocated,5036.6299,0.0000
18yrQUCWAXD6yXYB5SwMV6feSVCBEBGQDMeNJxcWxr1op,Fully Allocated,5036.6299,0.0000
14hKN8wZ1qKtsxSVxZaiCQAtu2BCuEeGPMj8URsDKQaER,Fully Allocated,5036.6299,0.0000
16xUjiK4nbaUUYPmACDs9QyRNoNsqRYye7xevEwPhUzUK,Fully Allocated,5036.6299,0.0000
1CUQJGnMaisk93NLej1hpZHkJJxUBBjBWmcyZQcZzNdVx,Fully Allocated,5036.6299,0.0000
1ERzBPucqyxTWu4LBrjWRv8mnGQKPXE2wjweR31NKhTco,Fully Allocated,5036.6299,0.0000
1ASTDJdXDCHRRBxNipHSHpzEDpvaNcv6oDwurPx3R2nuq,Fully Allocated,5036.6299,0.0000
13RvaNPgTvf69i649pcYft2ihZHEa6jq894zrPuCJbj7F,Fully Allocated,5036.6299,0.0000
12CvKLQQR8bj1ir2gQDRdKqSjP6YSca9sUDnZtgv97y6Q,Fully Allocated,5036.6299,0.0000
16Fv7oP2ewhaAdoQNqPDWNQNp2Jipx3agNt95vQCKm1CG,Fully Allocated,5036.6299,0.0000
1meA814fCi6ksGthf8xYBhPQsc82EsxUb7tVNojePFoN,Fully Allocated,5036.6299,0.0000
1JAuox1QYyQpbUuG15kKdibL4azHMMC2nLacWHjh8X4VF,Fully Allocated,5036.6299,0.0000
1BKbAGjfQN695iAAp5TubaWDavu8m4x9aiRSjRMXqEeFs,Fully Allocated,5036.6299,0.0000
1Dr3MLEA48XjZc1WQ3MEGCqXQMm2UK9TxMpPBt5MLRmdo,No Purchase,0.0000,5036.6300
1FLifvY6aNmUGJbL8Dsj1X6h3UD2DsVrhh4hWAW1t3uRm,Fully Allocated,5036.6299,0.0000
16ZuAUyUQ6vDFmEqG6SMsbkSc5n6HQW4BRmYfzpAaJVj6,Fully Allocated,5036.6299,0.0000
19e3yBER3hua6W4Hrv57nEt9xfRvQJbReCT4Au5DgKXF6,Under Bought,5023.2209,13.4091
1ASrXBHbYf4Pc3Yh5YHPTEKHKzuEdyH2AteoaPkz4JvYZ,Fully Allocated,5036.6299,0.0000
1B5bN4J6S8FNaiGp54Q1LKU7CicE6PVRDUsitEfWJcTyu,Fully Allocated,5036.6299,0.0000
159WxkRAMhtdmdFNFQqY5CSLA4DaZCVmXtJK384rEYN1a,Fully Allocated,5036.6299,0.0000
19G4mchDaGp4jPRM5Ge5fEZvWfkwJ21oTfS2mPTSE97n8,Fully Allocated,5036.6299,0.0000
1Bq4EBVFM5NNuFiftjztQfqTpnenmSf32pCg4i693ZZo6,Fully Allocated,5036.6299,0.0000
1HQy35LTqXeF7udD5Vc9ervzZ3fVQauR4PJe2adtm7C9u,Fully Allocated,5036.6299,0.0000
18xn6tWCduStu6hd3Wt5CzZ4DqiwuSnucc8boAp26HKdG,Fully Allocated,5036.6299,0.0000
1AsSKs4BrH4wUi2wdfVHjbij6mPc9Vd2TCg1pSCyhzEeC,Fully Allocated,5036.6299,0.0000
13dRnFYYDn3d43mbgMxZntZpYu3GHeMAxqQqGLzXjqEr8,Fully Allocated,1870.7482,0.0000
