alphaddress,points
12QTTNaFxwrNK5obh1GaSbvH12eiJbxcpyKdGfoT4cK87,10
12VZgjVziugPKZJeqgLd285JnsMKpTUPhufKrsU5G3Cpv,10
12hxB7dCxcAzE1Ff2LbxWQxqxp2SKieRyZuWgbCz5h3vN,10
13oqWsjupUjXGtwjeDxF7BKWEJNoa62XfDyt98i3nWsRx,10
14y5UmEF212JanZhiHonTXzLVfd9uj5cWgu9deke7UvJg,10
155HEbwdRAn5ikeJkqmANJDoafMuW8yjEJwC8QgxsVFJJ,10
15GsAPeECfmo2g1aMEWZNNHhTUPjPdgMJA7QhuNt8CCEG,10
16Wom622aJw4eZPDpwnttqGTXH3pp5dXtvGru8cvnrXgW,10
16zCvUyRBrLRtC9wZKVLmAdq5kbPuevDt6E5XyBe98uif,10
17ZCUMbdX4aCZm8VYsVEP5jw6j9357BuHnkx5YssSrBpi,10
18kN9NsHJmFTJB3Y3CUjj8jzYpNPhrsS4zFniU2RD3RmP,10
18wGQjSRjut5ujaxaumHp7ktgE4d39d6dwe4XUH9pDAyH,10
19P5mf2XkwhA98qa6fiSsrmYr11zFNDuh3FWFmwZBY16Q,10
1AfBFvSU92Sp1GTgFQKD4LQN91vXj22GijqVztpC56ozA,10
1AoZpS8tQvpbGxRt2YaUu5vxQ9nDaZdZ7hptaEi1tYbw9,10
1ArzwP35qdza691L6jrL6cZBBvqsGiYJNDXtai9bBqmjf,10
1AsSKs4BrH4wUi2wdfVHjbij6mPc9Vd2TCg1pSCyhzEeC,10
1BGu9uQX7weZwZbtGKjNRBSwQkjYNFG4xq8SWEvS5Y7y8,10
1Bfr2RmWpYSFZ2gVLSgbkayrwZDXmQUX3ZrxEFfRLyvNQ,10
1BqQpFMJbdNBS6WXTzUZKHSGhrJZR4ApH1UyAU6JPYwqz,10
1DoobysEgsxVKyLNW9mA8Mt7iRZEasmc8kf5PjcCKxGg5,10
1EXvdrYyugeLLJYJhSnzYjksVKxabAF3TJLrF2F9MmwAL,10
1EZCrJ5wigMm2cDXpWZQ1f1z8wwFE798NVYjAxhPPCttB,10
1F9oeGvWH3babJE8ewCsvQ6HkmwSN4eBULcuyoM5eUANm,10
1G7VaFAUx2t6153Lg6f5ELcwddfeBp5Rsmp91ah6T2gHQ,10
1GE1NFvoAM35bkUU9ZgaV3MuA1PH3CTVwRpQcw4w4aQcS,10
1H8zU6ZH9osvVauDw5EYMhBQkiraMWF9CXCjrqjH3NmMC,10
1Hdm8C5hmcKqgaZ3yjqXcp16k6E6gATDb76ojhrCLPgPj,10
1HeZwgD4CzgTeMLF8hd2HNKB4b788vZ1WzSzeZ4GGC5yC,10
1J2wbKHkba8fr4fuHGPhZt3V3nrpVZFhKQkCu5mR1ThyS,10
1JkadzMDGKdFVFWh8CS9es65ZRmvw1USL8xeX49BqNwL,10
1X5Gi6DBqPWacws4RiovWNY9FwtMun6vrQZKYNW66BoU,10
12bifeAHTpCbFD35h3BAPjBZdJKAmgqN4n9qDk957yLC8,9
1FffKqn4MRqFheCFQHvudj5U687NheCUNdgJTDHyghTyA,9
13FH2nxJH5bijSCUQtcQCmKZw4z9735v5Ebeqh5hVNrLA,8
13dRnFYYDn3d43mbgMxZntZpYu3GHeMAxqQqGLzXjqEr8,8
113DVfCNvwxvS3WLfH4Ew6U1DRPocshUrRovUG47f3JUz,7
12adiTUruSKGimkxqr9o3EzNqedwH2rkVRXRr894E2uVq,7
13necgBMwUVP5R9TB3WPTuLa4YvHrL63oQda5fzVXVcsF,7
13zL5yt2WG3fBw4YG6qxEJTYimQzNwPViJNpFNBTAYvDm,7
16X7UMx7T1yUxZFtCCXdStnN9ycE25hVexPLKJR93j4MQ,7
1Ac3xQJjFo1qh1VGZUqYnxLvh2pi2sgHpRMePMv4zkasQ,7
12ZT33UHjdBpu6RaxartLzgvpkHc49PwA46w4KtGwfkL8,6
12xqHs3V9y3iuvrGJAd3bjmwma6tn8jsWMSBTL9UiAAtc,6
13DneNR8F41QHHMxXJXU9kKbKRqoaEXg7rXfKzDQmohAj,6
13bUanhdEgMvmakZRVXKCGZVPRaC2BUhhYV3gGSQEZk9x,6
13fyy7ydXEARTUKB9AEta9Y6oyWz4mnzJgkkLZfa75orc,6
14kT18w8E2QWCTsg48wW3jh5Ba3jk6tbgJuDSS6AbTHEo,6
18HGP9mPB6pPrDBpPo244fB7BT7fohnGuvZ3me3LimX6X,6
19W3HuKLKZmiNBQGycuzm3cLKSFXSHAoVHEfgwEjjRpty,6
19WhNoPrCvjYrfWihRbiEowwUmcsH6zziGHwtF8DFCWou,6
1AFXTWeJ5ouzEnAVfm3e6WkccsC5W12CPyXpnmbeijVAn,6
1DGFJoNF8tyXZe2X5px3HRnEGmcbXmySdZimCMSRcYgiH,6
1E1YZjQ16sZKLH6fXTzGcgasqoWuZbwJ6GSB2W9PyFYHH,6
1FUhHj5vPgBHKeh2qXQq8dBKN7YvpLMWQNoRPgigbpKjd,6
1GDXqWAhhEnga8Z7TvSH3mzh1tu5DjnzZp7vqF8zv9uUS,6
1GuBPDf3h3zT2ky8VUMTUgayAyWAifrJh9cQyTotgcWYt,6
1HXD3ZvuM9mn87xRogtT7zTLC9nQiSCedhvD1BgzrJ4N2,6
1HhARgUmMwjs4Tya54LFX5mf8Ai2nYi28TUeGazuLFNhE,6
1iKfcLXQHV4QACqsUCLP2uDNGyDbsqBzT6xMVtHsMiCp,6
13JVFsTWQXNLqGRGJebBNvNxeBp9fpyeTkYocB19Rmaj4,5
13pXLh9AyR5VPzFZzFqGRGMcK9rG7hxuVTRALduzn3ps7,5
13su1SFELGt13tnwMqBqu5m9GJ7nADSBL3azWTjq9dJ7q,5
14Z6dk9v1tKgiJsiY8chuXdsuQ2g6Dm6E9axR2HRDtyRD,5
14g6UzpENCRPNdAk4qbaua2pcursnC5cmvVmzRtPEo51R,5
14hKN8wZ1qKtsxSVxZaiCQAtu2BCuEeGPMj8URsDKQaER,5
14zsdWsBLyndwY576SkF918RqsQ7es5yT6uAf6yTWzNks,5
159sakgja8zAMohGvgsRZXNZ1SKieHB73VuFe2imtfAef,5
15sLDqU9awXP99HwBieowMmwEvVfGzvr8MPJUPuzYGjcu,5
17V3Fd5xZnWNRwqJDdiWtZgeCMzKvQvZ3QWRTUnTG3dMU,5
18yrQUCWAXD6yXYB5SwMV6feSVCBEBGQDMeNJxcWxr1op,5
1ASTDJdXDCHRRBxNipHSHpzEDpvaNcv6oDwurPx3R2nuq,5
1B4VaNQeVvUsKhJc7BwR3zJHVr3184expXePZUsyCDkCX,5
1B8yayhmNxq7sxA3d2MSaZjbPvvtPTpUMk2KovKpqUKpJ,5
1BEeTb2x29odR1cA1uqd8py6p5fhsnXFKXCUivY7iCvra,5
1Bpo2hcXqMpQhSLgcRSp2V4eBc4s5tWmJrxRr2HLSPDjr,5
1BthqX4NqZqLPfq7fHRnKgs5ukRy8EYfc2mwGx57qLaAp,5
1CKLwtEpdpu1pKXtxvhdKzkWzY9uhnvEzzUKmHraeChic,5
1DYviw2f3YGzKftEZxvbVpWLvnQCto2gaQckbRK4d1Nhn,5
1EjjSpqFqbW99E68Chbg42rbUFv77G9QVw5L4treArRe1,5
1FJK5Nab6Q4gUP4ofNzYSDyPAnRRgsaNvjPNpKViig8an,5
1FyuMwnWoC8FDeiNwZWR8gD1jKuE4G4XpZ3ZsVRQog9pq,5
1GCWgyKEUGXtN14Bh7AbpTqgdMexaD2fLZMxTpEzboCVq,5
1GXY7PWBTa2QHzEhHdzNMSjvYEXNTMpsoEW5LNk4VCoCV,5
